pair,pmi1,pmi2,pmi_diff,abs_diff
构→适,4.287355473070804,5.378302051747593,1.090946578676789,1.090946578676789
求→其,-0.4649096917904946,3.274038840176595,3.7389485319670897,3.7389485319670897
心→结,0.6661430785351671,-1.091467843347333,-1.7576109218825002,1.7576109218825002
告→之,1.0014180121025396,1.1366369472754214,0.13521893517288186,0.13521893517288186
功→并,1.3113657718216734,3.091368889774013,1.7800031179523395,1.7800031179523395
后→工,-0.44166480536151326,2.646682936913925,3.088347742275438,3.088347742275438
表→分,-1.2656675021756194,-0.8706090512362945,0.3950584509393249,0.3950584509393249
几→十,6.0420518284519735,7.4467706955383735,1.4047188670864,1.4047188670864
感→陪,6.091055224587216,5.808313738703024,-0.2827414858841921,0.2827414858841921
费→类,0.7015784600676481,3.796140668397736,3.094562208330088,3.094562208330088
酬→分,1.7957773724072814,6.045270327599479,4.249492955192197,4.249492955192197
扫→描,10.879551119393504,10.43622539417673,-0.4433257252167735,0.4433257252167735
花→板,5.91128488989519,5.220904148181443,-0.6903807417137466,0.6903807417137466
能→精,-1.1232638962135497,-0.3488156195542452,0.7744482766593045,0.7744482766593045
道→或,1.0576656635362418,2.1970262315015474,1.1393605679653056,1.1393605679653056
把→保,0.5302918032505344,2.192526885650939,1.6622350824004044,1.6622350824004044
时→跟,-0.5782638131388037,2.8705930562701774,3.448856869408981,3.448856869408981
场→认,1.6227207810656004,0.957048367957023,-0.6656724131085774,0.6656724131085774
均→出,1.4280629203755286,3.1538239112726383,1.7257609908971097,1.7257609908971097
便→如,3.6445310897293073,0.0490196861709831,-3.595511403558324,3.595511403558324
最→坚,0.3749335047394624,2.2601545035274553,1.8852209987879929,1.8852209987879929
内→冰,2.6808628229881477,-0.41555277449948164,-3.0964155974876295,3.0964155974876295
浮→出,2.9029118953782556,-1.643973827113998,-4.546885722492254,4.546885722492254
热→风,1.4709962113413175,-4.497266538507421,-5.968262749848738,5.968262749848738
及→智,1.3337968179610007,-0.20904106870207406,-1.5428378866630748,1.5428378866630748
中→天,-0.8792894056871453,-4.797873876098542,-3.918584470411397,3.918584470411397
得→巨,2.1312654013039642,3.504396932145013,1.3731315308410488,1.3731315308410488
行→后,-0.539980293340239,-1.0930030376844933,-0.5530227443442542,0.5530227443442542
社→副,2.9972714827499414,-0.07872683470747772,-3.0759983174574193,3.0759983174574193
事→处,2.2299575520502253,-1.152330669568131,-3.3822882216183565,3.3822882216183565
疗→系,1.1892885352477824,2.738943096591203,1.5496545613434205,1.5496545613434205
还→成,-3.1577766358079233,0.3350208354437644,3.492797471251688,3.492797471251688
与→营,0.01551111785227241,0.012872234894536486,-0.002638882957735924,0.002638882957735924
被→卸,5.841182066828661,6.488482564859999,0.6473004980313384,0.6473004980313384
特→认,0.3511767010075223,0.5607532888375155,0.20957658782999322,0.20957658782999322
备→增,0.5097021475729168,-1.127228879521179,-1.6369310270940955,1.6369310270940955
被→边,2.080680958201666,3.5098562156525652,1.4291752574508991,1.4291752574508991
球→标,-0.5088456999667523,-1.0080322604851928,-0.49918656051844046,0.49918656051844046
化→影,0.532879321891091,-2.7976385226981146,-3.3305178445892056,3.3305178445892056
汹→涌,14.515860500114881,13.6886455388597,-0.8272149612551818,0.8272149612551818
两→地,1.8291696764069265,0.053154604966178534,-1.7760150714407479,1.7760150714407479
方→没,-2.3780365892175124,1.1629616120030357,3.540998201220548,3.540998201220548
权→保,-0.21304587332827138,2.9495577473542207,3.162603620682492,3.162603620682492
海→戏,2.883477681665506,1.7303647136906781,-1.1531129679748278,1.1531129679748278
合→物,0.30652339629866115,-1.0338828442849852,-1.3404062405836463,1.3404062405836463
